TotalHands,WinCount,LossCount,TieCount,MaxWinStreak,MaxLossStreak,MaxTieStreak,WinPercentage,LossPercentage,TiePercentage,MaxBet,Bankroll
53,34,17,2,7,5,1,64.15%,32.08%,3.77%,320,500310
54,24,24,6,6,5,2,44.44%,44.44%,11.11%,320,500550
52,23,24,5,4,6,2,44.23%,46.15%,9.62%,640,500750
56,27,24,5,6,6,2,48.21%,42.86%,8.93%,640,501010
53,24,25,4,8,6,1,45.28%,47.17%,7.55%,640,501250
55,19,34,2,3,7,1,34.55%,61.82%,3.64%,1280,501410
54,23,24,7,4,6,2,42.59%,44.44%,12.96%,640,501630
52,27,21,4,4,5,3,51.92%,40.38%,7.69%,320,501890
56,17,33,6,4,6,2,30.36%,58.93%,10.71%,640,501990
55,22,29,4,4,5,1,40.00%,52.73%,7.27%,320,502180
53,26,19,8,5,3,2,49.06%,35.85%,15.09%,80,502430
55,25,26,4,6,6,1,45.45%,47.27%,7.27%,640,502680
56,23,26,7,3,8,2,41.07%,46.43%,12.50%,2560,502910
53,19,26,8,6,7,2,35.85%,49.06%,15.09%,1280,502950
52,18,26,8,3,5,2,34.62%,50.00%,15.38%,320,503130
55,28,21,6,7,7,1,50.91%,38.18%,10.91%,1280,503410
55,25,21,9,6,4,2,45.45%,38.18%,16.36%,160,503660
53,30,17,6,6,2,2,56.60%,32.08%,11.32%,40,503960
56,30,19,7,7,7,1,53.57%,33.93%,12.50%,1280,504250
54,27,24,3,5,4,1,50.00%,44.44%,5.56%,160,504520
55,24,28,3,4,6,1,43.64%,50.91%,5.45%,640,504760
53,30,23,0,5,4,0,56.60%,43.40%,0.00%,160,505060
55,28,25,2,4,3,1,50.91%,45.45%,3.64%,80,505340
53,21,26,6,4,4,1,39.62%,49.06%,11.32%,160,505550
53,29,22,2,5,5,1,54.72%,41.51%,3.77%,320,505840
55,23,28,4,3,5,2,41.82%,50.91%,7.27%,320,506060
54,26,24,4,9,4,1,48.15%,44.44%,7.41%,160,506320
